question,answer
レジーナ・ウィロビーと娘のメリーナにとって、コロンビア・シティ・バレエ団での共演はそれぞれのキャリアにおいてどのような節目にあたりますか？,40歳のレジーナにとっては3月に舞台から引退する最後のシーズンであり、18歳の娘メリーナにとってはトレイニーとしてキャリアを開始する最初のシーズンにあたります。この1シーズン限定で、二人は同じバレエ団で舞台を共演しています。
『くるみ割り人形』において、レジーナとメリーナはそれぞれどのような配役で同時に出演していますか？,レジーナは「雪の女王（Snow Queen）」を、メリーナは「雪のコーラス（snow corps）」を踊り、同時にステージに立ちます。また、二人は「アラビアのディヴェルティスマン（Arabian divertissement）」にも揃って出演しています。
ピーター・マーティンズがニューヨーク・シティ・バレエ（NYCB）を休職した理由と、その背景にある調査について教えてください。,ピーター・マーティンズは、自身に対するセクシャルハラスメントの告発に関するカンパニーの内部調査が行われている間、一時的な休職を申し出ました。この休職はNYCBとスクール・オブ・アメリカン・バレエの両方が対象となっています。
ピーター・マーティンズの休職中に芸術部門を率いる暫定リーダーシップチームのメンバーは誰ですか？,暫定チームは4名で構成されています。リーダーはバレエ・マスターで元プリンシパル・ダンサーのジョナサン・スタッフォードです。メンバーには、レジデント・コレオグラファー兼ソリストのジャスティン・ペック、そして元ダンサーでバレエ・マスターのクレイグ・ホールとレベッカ・クローンが加わっています。
新しく任命された暫定リーダーシップチームの主な役割と、彼らの経歴や特徴について教えてください。,暫定チームは、スケジューリング、キャスティング、リハーサルの指導など、カンパニーの日々の芸術的業務を担当します。メンバー全員がカンパニーの現芸術スタッフ（元ダンサーなど）であり、リーダーシップ経験は少ないものの、カンパニーを熟知しているためダンサーの移行を円滑にする役割が期待されています。
ペンシルベニア・バレエとボストン・バレエがスーパーボウルに向けて行ったコラボレーション企画とはどのようなものですか？,両バレエ団のダンサーたちが、スーパーボウルで対戦する地元の応援チーム（イーグルスとペイトリオッツ）を支援するため、通常の稽古を休んでスーパーボウルをテーマにした振り付けをそれぞれ披露し合うという企画です。
ペンシルベニア・バレエが披露したパフォーマンスの具体的な内容やテーマについて教えてください。,イーグルスのチームカラーであるグリーンを身にまとい、鳥（イーグルス）にちなんだスワン・アームを取り入れたほか、フェッテ・ターンや高いジャンプを含むテンポの速いルーティンを披露しました。
ボストン・バレエのパフォーマンス動画には誰が出演し、どのような演出が行われましたか？,プリンシパルのポール・クレイグとソロイストのデレク・ダンが出演しました。演出では、『放蕩息子（Prodigal Son）』の小道具を使用し、バランシンのテクニックを取り入れたパフォーマンスを披露しました。
Só Dançaが新しく発表したダンスシューズコレクションは、どのようなコラボレーションによって誕生しましたか？,このコレクションは、Broadway Dance Centerとのコラボレーションにより撮影・開発され、ミュージカルシアター界の著名なプロフェッショナルたちと協力して立ち上げられました。
Só Dançaの新しいダンスシューズのデザインの特徴と、安定性を高めるための設計について教えてください。,シューズは2つのスタイルと、2.5インチまたは3インチのヒールから選べます。ヒールが体の真下に位置するように設計されているため、自信を持って安定して踊ることができます。
レベッカ・クローン（Rebecca Krohn）のニューヨーク・シティ・バレエ（NYCB）におけるキャリアのタイムラインと、プリンシパルに昇格した年について教えてください。,レベッカ・クローンは1998年秋にアプレンティス（見習い）としてNYCBに入団しました。その後、着実にキャリアを重ね、2012年に最高位であるプリンシパル・ダンサーに昇格しました。
レベッカ・クローンの引退公演で踊られる演目の詳細と、引退後に彼女が就任する新しい役職は何ですか？,彼女は土曜日の最終公演で、アマー・ラマサールと共に『ストラヴィンスキー・バイオリン協奏曲』を踊ります。そして翌週の月曜日からは、バレエマスター（ballet master）という新たな役職としてNYCBのスタジオに戻ります。
レベッカ・クローンがニューヨーク・シティ・バレエ（NYCB）に入団するまでの、初期のトレーニング背景と経歴について教えてください。,彼女はプロのダンサーを志して14歳の時にニューヨークへ移り、スクール・オブ・アメリカン・バレエでトレーニングを始めました。その後、17歳の時にNYCBのアプレンティス（見習い）契約を獲得し、入団を果たしました。
ダンサーが最後の公演（final show）で踊る予定のお気に入りのバレエ作品は何ですか？,バランシン振付の『ストラヴィンスキー・ヴァイオリン協奏曲（Stravinsky Violin Concerto）』です。この作品は常に彼のお気に入りの一つとなっています。
話者のカンパニーでの在籍期間と、最も特別な思い出について教えてください。,話者の在籍期間は約20年です。最も特別な思い出は、友人やダンスパートナーと共にステージに立った時間です。ステージを共有することで生まれる素晴らしい信頼感や一体感、自発的なつながりは、決して忘れられない特別なものだと述べています。
キャリアが進展してソリストやプリンシパルになるにつれ、コールド・バレエ（後輩ダンサー）との関係性や自身の役割意識はどのように変化しましたか？,後輩ダンサーたちとの関係が変化し、彼らが憧れるような存在になりたいと思うようになりました。より積極的に彼らと関わりを持ち、サポートやアドバイスを提供したいという意識へと変化しました。
話者が会社に残る意思についてピーター・マーティンズ（Peter Martins）に相談した際、どのような話し合いが行われましたか？,話者は会社に残りたいという自身の考えを伝えるために1年前にピーターに相談しました。彼の反応を聞くのは緊張するものでしたが、ピーターはその考えを素晴らしいアイデアだと賛同してくれました。
新しい役割において、最も楽しみにしていることは何ですか？,ダンサーたちの才能を育成することと、素晴らしいバレエのレパートリーを新しいダンサーたちと共に未来へ引き継いでいくことです。
Krohnが指導スタイルを模倣したいと考えている、インスピレーションを受けたバレエマスターは誰ですか？また、それぞれのどのような点に惹かれていますか？,Karin von AroldingenとSusan Hendlの2人です。Karin von Aroldingenの作品に対する不滅の情熱や、Susan Hendlの一人ひとりのユニークな資質と女性らしさを引き出す素晴らしい才能にインスピレーションを受けています。
バレエから離れて自由な時間が増えた後、どのような活動を楽しみにしていますか？,美術館を巡って一日中歩き回りインスピレーションを得ることや、大好きな料理をたくさん作ってディナーパーティーをより多く主催することを楽しみにしています。
バレエのレッスンを通じて身につく「規律（ディシプリン）」には、どのような価値がありますか？,バレエのクラスで毎日教わる規律は、将来ダンスを続けるか、あるいは他の道に進むかに関わらず、人間として非常に価値のある、かけがえのない資質となります。
若いダンサーが毎日を「新たなスタート」として捉えるべきなのはなぜですか？,日によって体調や体の動きは異なるため、自分に自信が持てない日があっても、毎日を新たなスタートとして気持ちをリセットし、前向きに進むことが重要だからです。
ロイ・カイザーが新たに芸術監督に就任するネバダ・バレエ・シアター（NBT）において、彼は何代目の芸術監督になりますか？また、誰の後任ですか？,ロイ・カイザーは、ネバダ・バレエ・シアター（NBT）の46年の歴史において4代目の芸術監督に就任します。彼は前任のジェームズ・キャンフィールドの後任として、この役職を引き継ぐことになります。
ロイ・カイザーのペンシルベニア・バレエ団における経歴と、芸術監督として残した主な実績について教えてください。,カイザーはペンシルベニア・バレエ団でプリンシパルダンサー、バレエマスターを経て、1995年に芸術監督に就任しました。彼のリーダーシップのもと、同バレエ団はレパートリーに90の新規バレエと35の世界初演作品を追加しました。
ネバダ・バレエ・シアター（NBT）の組織規模と、ロイ・カイザーの就任後に予定されている公演について教えてください。,NBTはネバダ州最大のプロバレエ団およびダンスアカデミーで、35人のダンサーが所属しています。今後の公演には、シルク・ドゥ・ソレイユとのコラボである「A Choreographer's Showcase」10周年記念公演や、11月の「Classic Americana」があります。
ピーター・マーティンズ氏の退任後、NYCBのダンサーたちはどのような不安を抱いており、彼らを取り巻く情報状況はどのようになっていますか？,ダンサーたちは、新ディレクターの決定時期や人選、自分たちの意見の反映、配役やバランシン作品の監督担当、急激な変化や失職の可能性について不安を抱いています。現在、ダンサーたちには後任の捜索プロセスや今後の計画に関する情報はほとんど知らされていません。
ドレスリハーサルにおいてピーター・マーティンズ氏の不在はどのように影響しており、彼がそこで果たしていた具体的な役割は何ですか？,彼の不在は特にバランシン作品のドレスリハーサルで強く感じられています。彼は日々のリハーサルには滅多に参加しませんでしたが、最終リハーサルを常に監督し、バランシン直伝の知恵を共有して、難しいパートナーリングやターンの修正を指導する役割を果たしていました。
E. T. A. ホフマンが1816年に執筆したオリジナルの「くるみ割り人形」の物語は、どのような特徴を持っていましたか？,ドイツの作家E. T. A. ホフマンが執筆したオリジナルの物語「くるみ割り人形とネズミの王様」は、不気味でダークな雰囲気（eerie and dark）を持っていることが特徴です。
アレクサンドル・デュマは、E. T. A. ホフマンの「くるみ割り人形」の物語をどのように翻案しましたか？,フランスの作家アレクサンドル・デュマは、原作の約30年後に物語を翻案し、全体の内容を明るくし、キャラクターの描写を和らげました。さらに、主人公の名前をより陽気なものへと変更しました。
デュマによる翻案で、主人公の名前が「マリー・シュタールバウム」から「クララ・ジルバーハウス」に変更された背景には、どのような象徴的な意味がありますか？,「マリー・シュタールバウム（鋼鉄の木）」は彼女が置かれた抑圧的な家庭を象徴していましたが、変更後の「クララ・ジルバーハウス（銀の家）」は輝く魔法に満ちた壮大な家を象徴しており、物語の雰囲気を明るくする意図がありました。
1892年にマリインスキー劇場で上演された『くるみ割り人形』初演（オリジナルキャスト）の「雪の結晶」の写真を撮影したのは誰ですか？,この写真を撮影したのはウォルター・E・オーウェン（Walter E. Owen）です。この写真はDance Magazine Archivesが提供しているものです。
1892年のサンクトペテルブルク初演における『くるみ割り人形』の制作背景（振付師の交代）と、当時の否定的な評価の理由について教えてください。,振付師マリウス・プティパの病気により、アシスタントのレフ・イワノフが振付を引き継ぎました。初演時の否定的な評価として、作品の不均等さ、第1幕に主役のバレリーナがいないことへの不満、そして歴史的な物語に比べてストーリーが軽すぎることなどが挙げられました。
ロシア革命は『くるみ割り人形』の公演にどのような影響を与えましたか。また、作品が存続できた理由は何ですか。,ロシア革命によってオリジナルのダンサーたちが散り散りになったため、公演は非常に稀なものとなりました。しかし、チャイコフスキーが手がけた音楽（スコア）の成功により、このバレエ作品は消滅することなく生き残ることができました。
1934年にロンドンで行われたロシア国外初の大規模公演において、ニコラス・セルゲエフはどのように作品を復元しましたか。,元マリインスキー・バレエマスターのニコラス・セルゲエフは、オリジナルの記譜法（ノート）を基にヴィック・ウェルズ・バレエで作品を再現する任務を負いました。ノートは不完全で判読が困難でしたが、彼の粘り強い取り組みにより舞台化に成功しました。
「くるみ割り人形」の米国初演はいつ、どのバレエ団によって行われましたか？,1940年に、バレエ・リュス・ド・モンテカルロ（Ballet Russe de Monte Carlo）によって行われました。この時、同バレエ団は「くるみ割り人形」の短縮版を米国に導入しました。
バレエ・リュス・ド・モンテカルロは、米国初演後の10年間で「くるみ割り人形」をどのように普及させましたか？,同バレエ団はその後10年間にわたり、このバレエ作品の広範なツアー（巡回公演）を行い、全米の観客に広く紹介しました。
アメリカで最初の全幕（フルレングス）の『くるみ割り人形』を振り付けた人物と、その当時の所属バレエ団について教えてください。,1944年にアメリカ初の全幕『くるみ割り人形』を振り付けたのは、サンフランシスコ・バレエ（San Francisco Ballet）の創設芸術監督であるウィリアム・クリステンセン（Willam Christensen）です。
ウィリアム・クリステンセンが後に創設し、現在も彼のバージョンの『くるみ割り人形』を毎年上演し続けているバレエ団はどこですか？,ウィリアム・クリステンセンが後に創設したバレエ団は「バレエ・ウエスト（Ballet West）」です。このバレエ団は、現在も毎年彼のバージョンの『くるみ割り人形』を上演し続けています。
ジョージ・バランシンは、『くるみ割り人形』とクリスマスシーズンの結びつきにおいて、どのような役割を果たしたとされていますか？,バランシンは、『くるみ割り人形』をクリスマスシーズンの定番行事、およびバレエ団のレパートリーとして定着させた最初の人物とされています。批評家のロバート・グレスコヴィックも、彼がこの作品をホリデーシーズンに不可欠なものにした責任者であると述べています。
ニューヨーク・シティ・バレエによるバランシン版『くるみ割り人形』の初演から、12月の上演に移行するまでの経緯を教えてください。,ニューヨーク・シティ・バレエは、1954年2月にバランシン版『くるみ割り人形』を初めて上演しました。しかし、そのホリデーシーズンにおける魅力をすぐに認識したため、翌年には上演時期を12月へと移行しました。
ジョフリー・バレエ団やワシントン・バレエ団による『くるみ割り人形』の地域色豊かな演出には、どのような特徴がありますか？,ジョフリー・バレエ団の演出は1893年のシカゴ万国博覧会を舞台にしており、ワシントン・バレエ団の演出はジョージ・ワシントンや国王ジョージ3世などのキャラクターを登場させ、アメリカの歴史を取り入れています。
『くるみ割り人形』はバレエ団にとって財政的にどのような重要性があり、年間のプログラムにどう影響していますか？,この公演はバレエ団の財政的支柱となっており、その収益に頼ることで、バレエ団は年間を通じて他の時期に独創的で最先端の作品を上演することが可能になっています。
1892年のオリジナルシナリオにおける、くるみ割り人形の家族に関する歴史的な詳細について教えてください。,ダンス歴史家のダグ・フリントンによると、1892年のオリジナルシナリオでは、くるみ割り人形には2人の姉妹がおり、彼女たちは「お菓子の国」でクララを温かいハグで親切に迎え入れます。
キャンディ・ケイン（Candy Cane）のバリエーションのオリジナルの振付は誰が手がけましたか？,ロシアのトレパックの音楽に合わせて踊られるキャンディ・ケインのバリエーションは、1892年のオリジナルダンサーであるアレクサンドル・シリアエフ（Alexandre Shiryaev）によって振り付けられました。
